Here’s the list in lowercase and inline:

date, year, territorial authority, territorial_authority_grouped, region, gmp, venues, gaming machines, dep_very_low (1-2), dep_medium_low (3-4), dep_medium (5-6), dep_medium_high (7-8), dep_high (9-10)
1/12/2022,2022,Marlborough District,Marlborough District,Marlborough,2920914.27,12,165,0,1,4,7,0
1/12/2022,2022,Masterton District,Masterton District,Wellington,1291005.93,4,64,0,0,0,1,3
1/12/2022,2022,Matamata-Piako District,Matamata-Piako District,Waikato,1830119.26,11,147,0,0,2,7,2
1/12/2022,2022,Napier City,Napier City,Hawke's Bay,5720003.37,19,289,2,4,5,2,6
1/12/2022,2022,Nelson City,Nelson City,Nelson,2855283.37,9,131,0,1,0,8,0
1/12/2022,2022,New Plymouth District,New Plymouth District,Taranaki,5000778.31,21,297,1,1,5,11,3
1/12/2022,2022,Opotiki District,Opotiki District,Bay of Plenty,820694.01,4,57,0,0,0,0,4
1/12/2022,2022,Otorohanga District,Otorohanga District,Waikato,307131.04,2,23,0,0,0,0,2
1/12/2022,2022,Palmerston North City,Palmerston North City,Manawatu-Wanganui,5976974.18,21,295,0,1,1,1,18
1/12/2022,2022,Porirua City,Porirua City,Wellington,3887789.34,10,156,2,0,0,0,8
1/12/2022,2022,Queenstown-Lakes District,Queenstown-Lakes District,Otago,1100158.08,6,65,4,1,1,0,0
1/12/2022,2022,Rangitikei District,Rangitikei District,Manawatu-Wanganui,835823.2,5,58,0,0,0,5,0
1/12/2022,2022,Rotorua District,Rotorua District,Bay of Plenty,7016316.63,25,373,0,1,2,3,19
1/12/2022,2022,Ruapehu District,Ruapehu District,Manawatu-Wanganui,744631.85,7,91,0,0,1,2,4
1/12/2022,2022,Selwyn District,Selwyn District,Canterbury,1466644,13,120,8,5,0,0,0
1/12/2022,2022,South Taranaki District,South Taranaki District (March 2021 incd. Stratford),Taranaki,2274280.51,13,157,0,0,1,3,9
1/12/2022,2022,South Waikato District,South Waikato District,Waikato,2271764.59,9,142,0,0,0,0,9
1/12/2022,2022,South Wairarapa District,South Wairarapa District,Wellington,410505.61,4,51,0,2,1,1,0
1/12/2022,2022,Southland District,Southland District,Southland,900063.03,14,86,0,6,5,3,0
1/12/2022,2022,Tararua District,Tararua District,Manawatu-Wanganui,941082.48,7,96,0,0,0,1,6
1/12/2022,2022,Tasman District,Tasman District,Tasman,2471093.3,13,166,2,0,3,3,5
1/12/2022,2022,Taupo District,Taupo District,Waikato,3074853.15,11,151,0,0,1,8,2
1/12/2022,2022,Tauranga District,Tauranga District,Bay of Plenty,10236439.88,34,497,2,6,5,11,10
1/12/2022,2022,Thames-Coromandel District,Thames-Coromandel District,Waikato,3277788.18,20,248,1,2,5,9,3
1/12/2022,2022,Timaru District,Timaru District,Canterbury,2971885.45,13,166,0,1,4,5,3
1/12/2022,2022,Upper Hutt City,Upper Hutt City,Wellington,3047001.75,11,165,1,7,0,3,0
1/12/2022,2022,Waikato District,Waikato District,Waikato,2782778.87,17,226,0,2,0,8,7
1/12/2022,2022,Waimakariri District,Waimakariri District,Canterbury,2456912.87,11,165,0,1,3,5,2
1/12/2022,2022,Waimate District,Waimate District,Canterbury,192196.29,2,16,0,0,0,0,2
1/12/2022,2022,Waipa District,Waipa District,Waikato,2749170.41,15,228,0,1,2,12,0
1/12/2022,2022,Wairoa District,Wairoa District,Hawke's Bay,709877.46,4,58,0,0,0,0,4
1/12/2022,2022,Waitaki District,Waitaki District,Canterbury,1037242.5,11,108,0,3,4,1,3
1/12/2022,2022,Waitomo District,Waitomo District,Waikato,644203.73,5,60,0,0,0,1,4
1/12/2022,2022,Wanganui District,Wanganui District,Manawatu-Wanganui,3399137,14,222,0,0,1,0,13
1/12/2022,2022,Wellington City,Wellington City,Wellington,10688264.16,36,593,6,10,9,9,2
1/12/2022,2022,Western Bay Of Plenty District,Western Bay Of Plenty District,Bay of Plenty,2096256.91,10,148,1,2,1,6,0
1/12/2022,2022,Westland District,Westland District,West Coast,453123.61,5,52,0,0,0,5,0
1/12/2022,2022,Whakatane District,Whakatane District,Bay of Plenty,3428863.11,11,179,0,1,0,2,8
1/12/2022,2022,Whangarei District,Whangarei District,Northland,5361076.74,18,252,0,1,4,4,9
1/09/2022,2022,Ashburton District,Ashburton District,Canterbury,1889611.48,12,141,0,5,3,4,0
1/09/2022,2022,Auckland Council - Albert - Eden,Auckland City,Auckland,5186069.34,11,157,1,9,1,0,0
1/09/2022,2022,Auckland Council - Devonport - Takapuna,Auckland City,Auckland,1317189.06,7,110,3,3,1,0,0
1/09/2022,2022,Auckland Council - Franklin,Auckland City,Auckland,3120368.22,15,211,3,1,6,0,5
1/09/2022,2022,Auckland Council - Henderson - Massey,Auckland City,Auckland,6350472.86,13,212,0,0,0,7,6
1/09/2022,2022,Auckland Council - Hibiscus And Bays,Auckland City,Auckland,3390954.03,13,192,1,7,3,1,1
1/09/2022,2022,Auckland Council - Howick,Auckland City,Auckland,8851460.5,18,297,5,3,9,0,1
1/09/2022,2022,Auckland Council - Kaipatiki,Auckland City,Auckland,5478892.54,14,211,5,1,8,0,0
1/09/2022,2022,Auckland Council - Mangere - Otahuhu,Auckland City,Auckland,7080841.6,11,198,0,0,0,2,9
1/09/2022,2022,Auckland Council - Manurewa,Auckland City,Auckland,5813009.69,11,162,0,0,1,0,10
1/09/2022,2022,Auckland Council - Maungakiekie - Tamaki,Auckland City,Auckland,5772506.85,15,232,0,0,4,10,1
1/09/2022,2022,Auckland Council - Orakei,Auckland City,Auckland,1421400.14,6,69,3,2,0,1,0
1/09/2022,2022,Auckland Council - Otara - Papatoetoe,Auckland City,Auckland,8602284.65,17,254,0,0,0,7,10
1/09/2022,2022,Auckland Council - Papakura,Auckland City,Auckland,4177569.9,12,180,0,2,1,0,9
1/09/2022,2022,Auckland Council - Puketapapa,Auckland City,Auckland,1089327.67,2,27,0,1,1,0,0
1/09/2022,2022,Auckland Council - Rodney,Auckland City,Auckland,1845494.69,9,128,2,0,5,2,0
1/09/2022,2022,Auckland Council - Upper Harbour,Auckland City,Auckland,2754696.57,10,124,1,1,4,4,0
1/09/2022,2022,Auckland Council - Waiheke,Auckland City,Auckland,175594.89,2,18,0,0,2,0,0
1/09/2022,2022,Auckland Council - Waitakere Ranges,Auckland City,Auckland,1852664.32,7,82,1,0,1,5,0
1/09/2022,2022,Auckland Council - Waitemata,Auckland City,Auckland,4184193.9,16,213,1,6,4,5,0
1/09/2022,2022,Auckland Council - Whau,Auckland City,Auckland,3792697.76,10,142,0,0,1,8,1
